CD_REFNIS,TX_DESCR_NL,MS_POPULATION
83034,Marche-en-Famenne,17897
83040,Nassogne,5695
83044,Rendeux,2679
83049,Tenneville,2882
83055,Manhay,3703
84009,Bertrix,8994
84010,Bouillon,5400
84016,Daverdisse,1415
84029,Herbeumont,1728
84033,Léglise,5746
84035,Libin,5381
84043,Neufchâteau (Neufchâteau),8186
84050,Paliseul,5515
84059,Saint-Hubert,5741
84068,Tellin,2523
84075,Wellin,3186
84077,Libramont-Chevigny,11840
85007,Chiny,5274
85009,Etalle,6063
85011,Florenville,5838
85024,Meix-devant-Virton,2818
85026,Musson,4675
85034,Saint-Léger (Virton),3742
85039,Tintigny,4512
85045,Virton,11416
85046,Habay,8699
85047,Rouvroy,2141
91005,Anhée,7199
91013,Beauraing,9460
91015,Bièvre,3471
91030,Ciney,17103
91034,Dinant,13296
91054,Gedinne,4686
91059,Hamois,7528
91064,Havelange,5314
91072,Houyet,5116
91103,Onhaye,3277
91114,Rochefort,12615
91120,Somme-Leuze,6019
91141,Yvoir,9233
91142,Hastière,6168
91143,Vresse-sur-Semois,2505
92003,Andenne,28114
92006,Assesse,7321
92035,Eghezée,16705
92045,Floreffe,8115
92048,Fosses-la-Ville,10453
92054,Gesves,7392
92087,Mettet,13465
92094,Namen,113286
92097,Ohey,5206
92101,Profondeville,12349
92114,Sombreffe,8438
92137,Sambreville,28392
92138,Fernelmont,8221
92140,Jemeppe-sur-Sambre,19257
92141,La Bruyère,9292
92142,Gembloux,26517
93010,Cerfontaine,4995
93014,Couvin,14000
93018,Doische,2995
93022,Florennes,11339
93056,Philippeville,9381
93088,Walcourt,18398
93090,Viroinval,5640
