Netwerk,Ziekenhuis ,Campus,Latitude,Longitude
?,Centre hospitalier Universitaire de Liege,Notre-Dame Des Bruyeres,50.62279168082137,5.637517764327206
?,Centre hospitalier Universitaire de Liege,Sart-Tilman,50.573360765535455,5.5680163726391925
Réseau Liégeois,Centre hospitalier Universitaire de Liege,Ourthe-Ambleve,50.53238095537191,5.5784037038836205
Réseau Liégeois,Centre hospitalier Universitaire de Liege,CNRF,50.485045349018336,5.431561531433271
?,Foyer Horizon,Centre de soins Saint Joseph,50.73033797209642,5.9937155824427855
Réseau Liégeois,CHR Verviers,Pelizer,50.58386201653012,5.854273091516659
Réseau Liégeois,CHR Verviers,La Tourelle,50.58249965621036,5.860082020792498
?,Klinik Saint Jozef,Saint Jozef,50.277186225108046,6.12761360146677
?,Saint Nikolaus Hospital,,50.62849107897321,6.028959416095733
?,Centre Hospitalier Reine Astrid,,50.42600474738404,6.023738763398791
?,Vivalia,Arlon,49.678227485352394,5.8210670075558495
?,Vivalia,Virton,49.553230665124566,5.526662224741222
?,Vivalia,Libramont,49.925288992715586,5.3819590977629295
?,Vivalia,Marche,50.22807343303944,5.322707825884549
?,Vivalia,Bastogne,50.01686552227743,5.726016395917975
